lon,lat,is_land,country,state,city,address_formatted,address_full,is_on_regular,resolution
-180.0,-60.0,False,,,,,,True,20.0
-160.0,-60.0,False,,,,,,True,20.0
-140.0,-60.0,False,,,,,,True,20.0
-120.0,-60.0,False,,,,,,True,20.0
-100.0,-60.0,False,,,,,,True,20.0
-80.0,-60.0,False,,,,,,True,20.0
-60.0,-60.0,False,,,,,,True,20.0
-40.0,-60.0,False,,,,,,True,20.0
-20.0,-60.0,False,,,,,,True,20.0
0.0,-60.0,False,,,,,,True,20.0
20.0,-60.0,False,,,,,,True,20.0
40.0,-60.0,False,,,,,,True,20.0
60.0,-60.0,False,,,,,,True,20.0
80.0,-60.0,False,,,,,,True,20.0
100.0,-60.0,False,,,,,,True,20.0
120.0,-60.0,False,,,,,,True,20.0
140.0,-60.0,False,,,,,,True,20.0
160.0,-60.0,False,,,,,,True,20.0
-180.0,-40.0,False,,,,,,True,20.0
-160.0,-40.0,False,,,,,,True,20.0
-140.0,-40.0,False,,,,,,True,20.0
-120.0,-40.0,False,,,,,,True,20.0
-100.0,-40.0,False,,,,,,True,20.0
-80.0,-40.0,False,,,,,,True,20.0
-60.0,-40.0,False,,,,,,True,20.0
-40.0,-40.0,False,,,,,,True,20.0
-20.0,-40.0,False,,,,,,True,20.0
0.0,-40.0,False,,,,,,True,20.0
20.0,-40.0,False,,,,,,True,20.0
40.0,-40.0,False,,,,,,True,20.0
60.0,-40.0,False,,,,,,True,20.0
80.0,-40.0,False,,,,,,True,20.0
100.0,-40.0,False,,,,,,True,20.0
120.0,-40.0,False,,,,,,True,20.0
140.0,-40.0,False,,,,,,True,20.0
160.0,-40.0,False,,,,,,True,20.0
-180.0,-20.0,False,,,,,,True,20.0
-160.0,-20.0,False,,,,,,True,20.0
-140.0,-20.0,False,,,,,,True,20.0
-120.0,-20.0,False,,,,,,True,20.0
-100.0,-20.0,False,,,,,,True,20.0
-80.0,-20.0,False,,,,,,True,20.0
-60.0,-20.0,True,Paraguay,Alto Paraguay,,"**Address:** Paraguay, Alto Paraguay","Address: hamlet: Lagerenza 4 de Mayo, town: Bahía Negra, state: Alto Paraguay, ISO3166-2-lvl4: PY-16, region: Región Occidental, country: Paraguay, country_code: py",True,20.0
-40.0,-20.0,False,,,,,,True,20.0
-20.0,-20.0,False,,,,,,True,20.0
0.0,-20.0,False,,,,,,True,20.0
20.0,-20.0,True,Namibia,Otjozondjupa,,"**Address:** Namibia, Otjozondjupa","Address: state: Otjozondjupa, ISO3166-2-lvl4: NA-OD, country: Namibia, country_code: na",True,20.0
40.0,-20.0,False,,,,,,True,20.0
60.0,-20.0,False,,,,,,True,20.0
80.0,-20.0,False,,,,,,True,20.0
100.0,-20.0,False,,,,,,True,20.0
120.0,-20.0,True,Australia,Western Australia,,"**Address:** Australia, Western Australia, Great Northern Highway","Address: road: Great Northern Highway, city_district: Pardoo, municipality: Shire of East Pilbara, state: Western Australia, ISO3166-2-lvl4: AU-WA, postcode: 6725, country: Australia, country_code: au",True,20.0
140.0,-20.0,True,Australia,Queensland,,"**Address:** Australia, Queensland","Address: hamlet: Three Rivers, municipality: Cloncurry Shire, state: Queensland, ISO3166-2-lvl4: AU-QLD, postcode: 4824, country: Australia, country_code: au",True,20.0
160.0,-20.0,False,,,,,,True,20.0
-180.0,0.0,False,,,,,,True,20.0
-160.0,0.0,False,,,,,,True,20.0
-140.0,0.0,False,,,,,,True,20.0
-120.0,0.0,False,,,,,,True,20.0
-100.0,0.0,False,,,,,,True,20.0
-80.0,0.0,True,Ecuador,Manabí,,"**Address:** Ecuador, Manabí","Address: hamlet: La Felicidad, town: Pedernales, county: Pedernales, state: Manabí, ISO3166-2-lvl4: EC-M, country: Ecuador, country_code: ec",True,20.0
-60.0,0.0,True,Brazil,Amazonas,,"**Address:** Brazil, Amazonas","Address: city_district: Urucará, town: Urucará, municipality: Região Geográfica Imediata de Itacoatiara, state_district: Região Geográfica Intermediária de Parintins, state: Amazonas, ISO3166-2-lvl4: BR-AM, region: North Region, country: Brazil, country_code: br",True,20.0
-40.0,0.0,False,,,,,,True,20.0
-20.0,0.0,False,,,,,,True,20.0
0.0,0.0,True,,,,,,True,20.0
